startphrase,ending1,ending2,labels,valid,qid
Her tastes are more Ferrari than backyard junker.,Her tastes are extremely expensive.,Her tastes are cheap.,0,1,828
Her tastes are more backyard junker than Ferrari.,Her tastes are extremely expensive.,Her tastes are cheap.,1,1,828
The quarterback was throwing straight surface-to-air missiles.,He throws far,He can't throw very well,0,1,835
The quarterback was throwing straight duds,He throws far,He can't throw very well,1,1,835
His argument was like a shadow,his argument had no substance,his argument was felt,0,1,836
His argument was like a chiropractor,his argument had no substance,his argument was felt,1,1,836
The day was like a news clip,the day went by fast,the day was really long,0,1,837
The day was like the Pan-American Highway,the day went by fast,the day was really long,1,1,837
The meeting was as solemn as Sunday morning Mass.,The meeting had a tone of seriousness.,The meeting had a tone of unseriousness.,0,1,838
The meeting was as solemn as a college football game.,The meeting had a tone of seriousness.,The meeting had a tone of unseriousness.,1,1,838
The restaurant experience was like a stately dinner.,The restaurant experience was upper-class.,The restaurant experience was homely and down-to-earth.,0,1,839
The restaurant experience was like a dinner at grandma's on the weekend.,The restaurant experience was upper-class.,The restaurant experience was homely and down-to-earth.,1,1,839
The lawyer was as humble as Icarus.,The lawyer was showy and greatly believed in himself beyond reason.,The lawyer was unassuming and had a gentle disposition.,0,1,840
The lawyer was as humble as an ancient monk.,The lawyer was showy and greatly believed in himself beyond reason.,The lawyer was unassuming and had a gentle disposition.,1,1,840
The bike tires have the sturdiness of a vanilla wafer.,The bike tires are flimsy.,The bike tires are well built.,0,1,842
The bike tires have the sturdiness of Atlas.,The bike tires are flimsy.,The bike tires are well built.,1,1,842
The lake is a wave pool.,The lake is choppy.,The lake is calm.,0,1,844
The lake is a sheet of glass.,The lake is choppy.,The lake is calm.,1,1,844
The ocean is a sheet of ice.,The ocean is smooth.,The ocean is choppy.,0,1,845
The ocean is a bed of rocks.,The ocean is smooth.,The ocean is choppy.,1,1,845
The TV show has the depth of a toilet.,The TV show is shallow.,The TV show is cerebral.,0,1,846
The TV show has the depth of the dead sea.,The TV show is shallow.,The TV show is cerebral.,1,1,846
She was as flaky as wood shavings,She was extremely flaky.,She wasn't flaky at all.,0,1,848
She was as flaky as steel,She was extremely flaky.,She wasn't flaky at all.,1,1,848
The book is an complex as the night sky,The book is very complicated.,The book is easy to understand.,0,1,849
The book is an complex as a children's puzzle,The book is very complicated.,The book is easy to understand.,1,1,849
Driving in this fog was like moving in quicksand,the fog was thick,the fog was thin,0,1,853
Driving in this fog was like a photon travelling in empty space,the fog was thick,the fog was thin,1,1,853
"When she hustles, she looks like a transformer",she hustles cumbersomely,she hustles gracefully,0,1,854
"When she hustles, she looks like a gazelle",she hustles cumbersomely,she hustles gracefully,1,1,854
He's as transparent as a window.,He is easy to read.,He is not easy to read.,0,1,856
He's as transparent as a sandstorm.,He is easy to read.,He is not easy to read.,1,1,856
That movie was as long as a prison sentence.,The movie was really long.,The movie was really short.,0,1,857
That movie was as long as a fifty-yard dash.,The movie was really long.,The movie was really short.,1,1,857
The fog has the thickness of a heavy woman's thighs,The fog is thick,The fog is thin,0,1,858
The fog has the thickness of Christian Bale in The Machinist,The fog is thick,The fog is thin,1,1,858
The show has all the cancelations of The Simpsons,The show has never been canceled,The show has been canceled many times,0,1,859
The show has all the cancelations of Futurama,The show has never been canceled,The show has been canceled many times,1,1,859
Her emotional resilience was as sturdy as glass,She was not emotionally resilient at all.,She had a lot of emotional resilience.,0,1,861
Her emotional resilience was as sturdy as spider silk,She was not emotionally resilient at all.,She had a lot of emotional resilience.,1,1,861
Her poem is a business contract.,Her poem is boring.,Her poem is exciting.,0,1,865
Her poem is a literal manifesto.,Her poem is boring.,Her poem is exciting.,1,1,865
This computer moves like an obese person in an electric scooter,the computer is slow,the computer is very fast,0,1,867
This computer moves like a race car,the computer is slow,the computer is very fast,1,1,867
The mother has the kindness of Santa's wife,The mother is giving,The mother is mean,0,1,872
The mother has the kindness of a praying Mantis,The mother is giving,The mother is mean,1,1,872
The student has the insight of a librarian,The student is smart,The student is unwise,0,1,873
The student has the insight of a goose,The student is smart,The student is unwise,1,1,873
That thing is as valuable as Jeff Bezos's bank account.,The item is extremely valuable.,The item is not valuable at all.,0,1,876
That thing is as valuable as an empty beer can.,The item is extremely valuable.,The item is not valuable at all.,1,1,876
Her boss is a grizzly,Her boss is aggressive and mean,Her boss is docile,0,1,879
Her boss is a goldfish,Her boss is aggressive and mean,Her boss is docile,1,1,879
His position on the platform was like A jenga tower.,His position was not stable.,His position was firm.,0,1,880
His position on the platform was like A house with a stable platform.,His position was not stable.,His position was firm.,1,1,880
"The gorilla has the strength of a giant, mutant ant",The gorilla is strong,The gorilla is weak,0,1,884
"The gorilla has the strength of a sick, old man",The gorilla is strong,The gorilla is weak,1,1,884
His feet were as big as a basketball player's.,His feet were very big.,His feet were small.,0,1,887
His feet were as big as an adolescent child.,His feet were very big.,His feet were small.,1,1,887
The gift I received was as welcomed as blessing from God.,The gift was well-received and deemed beneficial to the receiver.,The gift was not well-received or deemed beneficial to the receiver.,0,1,888
The gift I received was as welcomed as curse from Satan.,The gift was well-received and deemed beneficial to the receiver.,The gift was not well-received or deemed beneficial to the receiver.,1,1,888
The man was as ambitious as an astrophysicist,The man set ambitious goals for himself.,The man lacked ambition.,0,1,891
The man was as ambitious as a custodian,The man set ambitious goals for himself.,The man lacked ambition.,1,1,891
The marriage is as good as a fresh out of the oven bagel,They have an awesome marriage,Their marriage is horrible,0,1,894
The marriage is as good as a month old banana,They have an awesome marriage,Their marriage is horrible,1,1,894
His mother's voice seemed a splinter,His mother's voice was annoying/agitating.,His mother's voice was soothing/calming.,0,1,895
His mother's voice seemed a salve,His mother's voice was annoying/agitating.,His mother's voice was soothing/calming.,1,1,895
The book was as exciting as Noam Chomsky on qualudes,The book was boring,The book was gripping,0,1,900
The book was as exciting as winning the lottery the day you first got laid,The book was boring,The book was gripping,1,1,900
The preschool teacher was a grim reaper.,The preschool teacher was dour.,The preschool teacher was funny.,0,1,901
The preschool teacher was a clown.,The preschool teacher was dour.,The preschool teacher was funny.,1,1,901
The chemist was a lumberjack.,The chemist was sloppy.,The chemist was careful.,0,1,902
The chemist was an artist.,The chemist was sloppy.,The chemist was careful.,1,1,902
I could devour that book as if it was a slice of my favorite pizza,The book is interesting,The book is dull,0,1,905
I could devour that book as if it was a shoe sole,The book is interesting,The book is dull,1,1,905
This novel reads like poetry.,The book has beautiful language.,The book is really boring writing.,0,1,907
This novel reads like a shopping list.,The book has beautiful language.,The book is really boring writing.,1,1,907
That man has skin made of titanium.,That man isn't very sensitive.,That man is very sensitive.,0,1,909
That man has skin made of tissue paper.,That man isn't very sensitive.,That man is very sensitive.,1,1,909
That girl has the depth of a toilet,That girl is vain.,That girl is profound.,0,1,914
That girl has the depth of a diving pool.,That girl is vain.,That girl is profound.,1,1,914
The woman has the skin of a cat's tongue.,That woman has rough skin.,That woman has smooth skin.,0,1,915
The woman has the skin of mirror.,That woman has rough skin.,That woman has smooth skin.,1,1,915
The child's singing voice sounded like Madonna's,The child's singing voice was excellent.,The child's singing voice was poor.,0,1,917
The child's singing voice sounded like a scratchy violin,The child's singing voice was excellent.,The child's singing voice was poor.,1,1,917
He had as much money as a tent dweller,He had no money.,He had a lot of money.,0,1,918
He had as much money as a mansion dweller,He had no money.,He had a lot of money.,1,1,918
The group were as collaborative as a bunch of monkeys,they didnt work well together,they worked well together,0,1,919
The group were as collaborative as well oiled gears,they didnt work well together,they worked well together,1,1,919
The display was bright as the sun,it was really bright,it was really dull,0,1,920
The display was bright as a new moon,it was really bright,it was really dull,1,1,920
The novel was as deep as a kiddie pool,it had no meaning,it had meaning,0,1,921
The novel was as deep as the great sea,it had no meaning,it had meaning,1,1,921
She had the swimming ability of a mermaid,She was a good swimmer,She was a bad swimmer,0,1,923
She had the swimming ability of a boulder,She was a good swimmer,She was a bad swimmer,1,1,923
This game is as hard as doing 1000 push ups,The game is very hard,The game is very easy,0,1,931
This game is as hard as brushing my teeth,The game is very hard,The game is very easy,1,1,931
Her eyes were as sparkly as ocean water,Her eyes were pretty,they weren't very pretty,0,1,934
Her eyes were as sparkly as mud,Her eyes were pretty,they weren't very pretty,1,1,934
She has the reality bending power of Dr. Manhattan from Watchmen,She has great reality bending powers,She has no ability to bend reality,0,1,937
She has the reality bending power of Nite Owl from Watchmen,She has great reality bending powers,She has no ability to bend reality,1,1,937
The new Hollywood movie has the intensity of a rollercoaster.,The new Hollywood movie is very intense.,The new Hollywood movie is dull.,0,1,939
The new Hollywood movie has the intensity of an evening with grandma.,The new Hollywood movie is very intense.,The new Hollywood movie is dull.,1,1,939
Hollywood has the depth of a puddle.,Hollywood is shallow.,Hollywood is profound.,0,1,942
Hollywood has the depth of a skyscraper.,Hollywood is shallow.,Hollywood is profound.,1,1,942
The man has a height of a mouse.,The man is very short.,The man is tall.,0,1,943
The man has a height of a skyscraper.,The man is very short.,The man is tall.,1,1,943
The mother was as controlling as a Navy captain,The mother was a very controlling person.,The mother had a very loose parenting style.,0,1,950
The mother was as controlling as a babysitter yakking on her cell phone,The mother was a very controlling person.,The mother had a very loose parenting style.,1,1,950
He's as free as a released prisoner.,He's very free.,He's not free at all.,0,1,952
He's as free as a death-row inmate.,He's very free.,He's not free at all.,1,1,952
Hollywood is as genuine as Silk,Hollywood is the real deal.,Hollywood is fake.,0,1,954
Hollywood is as genuine as Rayon,Hollywood is the real deal.,Hollywood is fake.,1,1,954
Jake was floating on the lake like Dandelion seeds floating in the air.,Jake was floating like he was weightless.,Jake was too heavy to float.,0,1,955
Jake was floating on the lake like Concrete shoes,Jake was floating like he was weightless.,Jake was too heavy to float.,1,1,955
Life is as easy as Kindergarten for a high school senior.,Life is basic.,Life is beyond comprehension.,0,1,956
Life is as easy as Kindergarten for a newborn.,Life is basic.,Life is beyond comprehension.,1,1,956
She was as sweet as the days are long,She is very sweet,She isn't sweet at all,0,1,960
She was as sweet as vinegar,She is very sweet,She isn't sweet at all,1,1,960
He's as deep as a puddle,He doesn't have a lot of insight,He has a great deal of insight,0,1,962
He's as deep as the sea,He doesn't have a lot of insight,He has a great deal of insight,1,1,962
My aunt has a heart of gold,"My aunt is very generous, loving","My aunt is very cold, stoic",0,1,965
My aunt has a heart of steel,"My aunt is very generous, loving","My aunt is very cold, stoic",1,1,965
The mean girl has the depth of a kiddie pool.,The mean girl is superficial.,The mean girl is deep.,0,1,967
The mean girl has the depth of the sea.,The mean girl is superficial.,The mean girl is deep.,1,1,967
The actor is a yeti.,The actor is hairy.,The actor is hairless.,0,1,968
The actor is a baby's bottom.,The actor is hairy.,The actor is hairless.,1,1,968
The girl was as short as the Eiffel Tower,The girl was tall.,The girl was very short.,0,1,969
The girl was as short as a second,The girl was tall.,The girl was very short.,1,1,969
The man's heart was as big as the sea,The man had endless love.,The man was stingy about his love.,0,1,970
The man's heart was as big as a pea,The man had endless love.,The man was stingy about his love.,1,1,970
The boy's voice was as loud as a ship's whistle,The boy's voice was obnoxiously loud.,The boy's voice couldn't be heard.,0,1,971
The boy's voice was as loud as a fish,The boy's voice was obnoxiously loud.,The boy's voice couldn't be heard.,1,1,971
They left town like a jet,They left town quickly.,They left town slowly.,0,1,973
They left town like a herd of turtles,They left town quickly.,They left town slowly.,1,1,973
It had the consistency of water,It was liquid.,It was solid.,0,1,974
It had the consistency of concrete,It was liquid.,It was solid.,1,1,974
Living in a city is like Living with metal trees.,Is not natural or close to nature.,City life is easy and comfortable.,0,1,975
Living in a city is like a walk along the lake shore.,Is not natural or close to nature.,City life is easy and comfortable.,1,1,975
Life is like skydiving,you would find fear followed by excitement and happiness if we navigate through life properly.,need to have the right balance.,0,1,976
Life is like cycling.,you would find fear followed by excitement and happiness if we navigate through life properly.,need to have the right balance.,1,1,976
Your career is like a flowing river.,It's a journey with lots of obstacles that you need to overcome to reach your  goals.,Down falls in career would follow with quick rise ups with hard work.,0,1,977
Your career is like a roller coaster ride.,It's a journey with lots of obstacles that you need to overcome to reach your  goals.,Down falls in career would follow with quick rise ups with hard work.,1,1,977
He ate like a horse,He ate a lot,He barely ate at all,0,1,980
He ate like a bird,He ate a lot,He barely ate at all,1,1,980
The groups are as separate as Berlin during the Cold War.,The groups are apart from each other.,The groups are different from each other but together enough to add strength to each other.,0,1,986
The groups are as separate as strands of yarn.,The groups are apart from each other.,The groups are different from each other but together enough to add strength to each other.,1,1,986
When you are in a slump focus on first base,just do the first part of your goal,stop and look at life.,0,1,987
When you are in a slump focus on the roses,just do the first part of your goal,stop and look at life.,1,1,987
The girl's engagement ring sparkled like New Year's Eve confetti,The girl's engagement ring was very shiny.,The girl's engagement ring was really dull.,0,1,990
The girl's engagement ring sparkled like a block of lead,The girl's engagement ring was very shiny.,The girl's engagement ring was really dull.,1,1,990
He's as fun as a party,He's fun,He's boring,0,1,998
He's as fun as watching paint dry,He's fun,He's boring,1,1,998
He has eyes like a hawk,He sees well,He can't see well,0,1,999
He has eyes like a bat,He sees well,He can't see well,1,1,999
He's as lenient as a prison guard.,He's not lenient at all.,He's very lenient.,0,1,1000
He's as lenient as a dad trying to win his kids' love.,He's not lenient at all.,He's very lenient.,1,1,1000
He keeps time like a stopwatch.,He keeps time really well.,He doesn't keep time that well.,0,1,1001
He keeps time like a three-year old on sugar.,He keeps time really well.,He doesn't keep time that well.,1,1,1001
The country has all the enemies of a wounded seal in shark infested waters,The country has many enemies,The country has few enemies,0,1,1006
The country has all the enemies of Mister Rogers,The country has many enemies,The country has few enemies,1,1,1006
That dog has the fur of a naked mole rat.,The dog is bald.,The dog is fluffy.,0,1,1012
That dog has the fur of a lion's mane.,The dog is bald.,The dog is fluffy.,1,1,1012
The baby is as loud as a whisper.,The baby is quiet.,The baby makes a lot of noise.,0,1,1013
The baby is as loud as a foghorn.,The baby is quiet.,The baby makes a lot of noise.,1,1,1013
Honesty is a down comforter for one's conscience.,Honesty creates a clear conscience.,Honesty restricts ambition.,0,1,1015
Honesty is a burden on one's ambitions.,Honesty creates a clear conscience.,Honesty restricts ambition.,1,1,1015
The car had the speed of Zeus chasing a pretty young maiden.,Fast like a god hitting on a girl,The car had to be going slow.,0,1,1017
The car had the speed of a street sign in a school zone.,Fast like a god hitting on a girl,The car had to be going slow.,1,1,1017
The child worked as hard as a premed student,The child put forth his best effort.,The child was lazy.,0,1,1022
The child worked as hard as a high school dropout,The child put forth his best effort.,The child was lazy.,1,1,1022
He roared like a lion,He roared loudly,He roared softly,0,1,1027
He roared like a kitten,He roared loudly,He roared softly,1,1,1027
The defenses are as thick as steel,The defenses are strong,The defenses are weak,0,1,1028
The defenses are as thick as air,The defenses are strong,The defenses are weak,1,1,1028
The comedian was as funny as a clown,The comedian was funny,The comedian was not funny,0,1,1029
The comedian was as funny as a corpse,The comedian was funny,The comedian was not funny,1,1,1029
That city was the heartbeat of California.,The city had the pure essence of California.,The city did not represent California and actually it made it worse.,0,1,1030
That city was a blister on California.,The city had the pure essence of California.,The city did not represent California and actually it made it worse.,1,1,1030
The writer's work is as inspired as a morning sunrise,The writer's work is totally refreshing.,The writer's work is bland.,0,1,1036
The writer's work is as inspired as a peanut butter sandwich,The writer's work is totally refreshing.,The writer's work is bland.,1,1,1036
The movie has the depth of a cookie sheet filled with melted red Jello,The movie is boring,The movie is profound,0,1,1052
The movie has the depth of the deepest most mysterious part of the Marianna Trench in the darkest black ocean,The movie is boring,The movie is profound,1,1,1052
The room is as crowded as the beach in the summer,The room is packed.,The room is empty.,0,1,1064
The room is as crowded as the Arctic,The room is packed.,The room is empty.,1,1,1064
The kitchen counter looked like a toddler cleaned it,The kitchen counter was messy.,The kitchen counter was pristinely clean.,0,1,1065
The kitchen counter looked like an Army general cleaned it,The kitchen counter was messy.,The kitchen counter was pristinely clean.,1,1,1065
He punches like a gorilla,his punches are heavy,his punches are light,0,1,1067
He punches like a mosquito,his punches are heavy,his punches are light,1,1,1067
The horse had the power of a Ferrari.,The horse is very strong.,The horse is weak.,0,1,1071
The horse had the power of a bicycle.,The horse is very strong.,The horse is weak.,1,1,1071
The judge had the intelligence of a cricket.,The judge is not smart.,The judge is smart.,0,1,1072
The judge had the intelligence of a surgeon.,The judge is not smart.,The judge is smart.,1,1,1072
That wave was as big as everest.,The wave was very big.,The wave wasn't big at all.,0,1,1073
That wave was as big as a pebble.,The wave was very big.,The wave wasn't big at all.,1,1,1073
She could eat like a a starved bear.,She ate very ravenously.,She barely ate..,0,1,1074
She could eat like a an ant.,She ate very ravenously.,She barely ate..,1,1,1074
The high school athlete has the speed of a jaguar,The high school athlete is fast.,The high school athlete is slow.,0,1,1076
The high school athlete has the speed of a banana slug,The high school athlete is fast.,The high school athlete is slow.,1,1,1076
The professor is as engaging as Bill Cosby,The professor is very engaging.,The professor is very dry.,0,1,1077
The professor is as engaging as a dictionary,The professor is very engaging.,The professor is very dry.,1,1,1077
Jim is a rusty toolbox.,Jim is useless.,Jim is useful.,0,1,1079
Jim is a cabinet full of tools.,Jim is useless.,Jim is useful.,1,1,1079
His eyes move like a hummingbird's wings,His eyes move rapidly,His eyes move slowly,0,1,1083
His eyes move like a giant sloth,His eyes move rapidly,His eyes move slowly,1,1,1083
The table is a bed of rocks.,The table is bumpy.,The table is smooth.,0,1,1084
The table is a sheet of glass.,The table is bumpy.,The table is smooth.,1,1,1084
This is about as legal as the supreme court.,It's very legal.,It's very illegal.,0,1,1086
This is about as legal as a bank robbery.,It's very legal.,It's very illegal.,1,1,1086
This is as fun as a bowl of nachos.,It's very fun.,It's not fun at all.,0,1,1088
This is as fun as stubbing your toe.,It's very fun.,It's not fun at all.,1,1,1088
His eyes have the sharpness of an eagle with binoculars,His eyes are very good,His eyesight is poor,0,1,1089
His eyes have the sharpness of a bat with broken glasses,His eyes are very good,His eyesight is poor,1,1,1089
He's smart as a whip,He's very smart,He's not smart at all,0,1,1096
He's smart as a brick,He's very smart,He's not smart at all,1,1,1096
The stars shined as bright as the sun,The stars were very bright,The stars were dull,0,1,1097
The stars shined as bright as wood,The stars were very bright,The stars were dull,1,1,1097
The actor was as famous as Jesus Christ.,The actor was known widely and had the same following/influence as a religious figure.,The actor was known only by a few people and only had a very small amount of influence.,0,1,1099
The actor was as famous as the local mailman.,The actor was known widely and had the same following/influence as a religious figure.,The actor was known only by a few people and only had a very small amount of influence.,1,1,1099
The shopping list was as detailed as the Constitution.,The shopping list was orderly written with specific details.,The shopping list was unorganized and thrown together with not much attention to detail.,0,1,1100
The shopping list was as detailed as a toddler's letter to Santa.,The shopping list was orderly written with specific details.,The shopping list was unorganized and thrown together with not much attention to detail.,1,1,1100
The homework assignment was as difficult as an end-of-the-year project.,The homework assignment was very difficult and required a lot of effort and a lot of time.,The homework assignment was very easy and required very little effort and time.,0,1,1101
The homework assignment was as difficult as reciting the ABCs.,The homework assignment was very difficult and required a lot of effort and a lot of time.,The homework assignment was very easy and required very little effort and time.,1,1,1101
She is a porcelain plate.,She is delicate.,She is tough.,0,1,1102
She is a pizza pan.,She is delicate.,She is tough.,1,1,1102
The man's ego was the size of a pea,The man's ego was tiny.,The man had a big ego.,0,1,1105
The man's ego was the size of a boulder,The man's ego was tiny.,The man had a big ego.,1,1,1105
The blanket was as soft as a marshmallow,The blanket was super soft.,The blanket was not soft at all.,0,1,1106
The blanket was as soft as a crocodile's armor,The blanket was super soft.,The blanket was not soft at all.,1,1,1106
The football player a hurricane,The football player is destructive.,The football player is resistant.,0,1,1108
The football player a brick.,The football player is destructive.,The football player is resistant.,1,1,1108
The hole goes all the way down to the center of the earth,the hole is deep,the hole is shallow,0,1,1110
The hole goes all the way down to the tops of my shoes,the hole is deep,the hole is shallow,1,1,1110
The politician has the transparency of a pane of glass,The politician is very transparent,The politician is not transparent,0,1,1111
The politician has the transparency of a metal door,The politician is very transparent,The politician is not transparent,1,1,1111
The letter had the depth of a tide pool.,The letter was superficial.,The letter was profound.,0,1,1115
The letter had the depth of the bottom of the sea.,The letter was superficial.,The letter was profound.,1,1,1115
The professor had the depth of a bath tub.,The professor was boring.,The professor was profound.,0,1,1116
The professor had the depth of the Mariana Trench.,The professor was boring.,The professor was profound.,1,1,1116
He sang like he'd just been divorced.,He was very emotional while singing.,He was not emotional at all.,0,1,1118
He sang like a robot in need of an update.,He was very emotional while singing.,He was not emotional at all.,1,1,1118
The sunset had the hue of a bowl of fresh picked oranges,The sunset was very orange,The sunset was hardly orange at all,0,1,1121
"The sunset had the hue of a bowl of rotten, six week old oranges",The sunset was very orange,The sunset was hardly orange at all,1,1,1121
My friend's arrival was a swift as a turtle,My friend was slow to arrive,My friend arrived quickly,0,1,1122
My friend's arrival was a swift as a formula 1 race car,My friend was slow to arrive,My friend arrived quickly,1,1,1122
Their arrival was like a cool hand on a feverish forehead.,Their arrival was soothing and welcome.,Their arrival was boring.,0,1,1125
Their arrival was like a kernel stuck in your teeth.,Their arrival was soothing and welcome.,Their arrival was boring.,1,1,1125
The rustling was as loud as a power lawn mower,The rustling was obnoxiously loud.,The rustling was very quiet.,0,1,1126
The rustling was as loud as a library,The rustling was obnoxiously loud.,The rustling was very quiet.,1,1,1126
"When Billy danced, it was poetry on the dance floor.",Billy was a graceful dancer.,Billy was not a graceful dancer.,0,1,1135
"When Billy danced, it was an oil spill on the dance floor.",Billy was a graceful dancer.,Billy was not a graceful dancer.,1,1,1135
The man's room looked like a junkyard,The man's room was a mess.,The man's room was well organized.,0,1,1140
The man's room looked like a classroom on the first day of school,The man's room was a mess.,The man's room was well organized.,1,1,1140
The football fans at the beginning of the season were as hopeful as people on New Year's Day.,The football fans believed that football season would filled with good things and had hope for a successful season.,The football fans believed that the football season would be miserable and thus did not have much hope about the success of the season.,0,1,1141
The football fans at the beginning of the season were as hopeful as one of the characters stuck in Dante's inferno.,The football fans believed that football season would filled with good things and had hope for a successful season.,The football fans believed that the football season would be miserable and thus did not have much hope about the success of the season.,1,1,1141
The priest had the disposition of a dictator.,The priest was authoritarian and sought to get his way above all else.,"The priest was gentle, loving, and humble.",0,1,1142
The priest had the disposition of Christ himself.,The priest was authoritarian and sought to get his way above all else.,"The priest was gentle, loving, and humble.",1,1,1142
The TV show was as easy to understand as one of Hegel's philosophy books.,The TV show was very complicated and difficult to parse through for understanding.,The TV show was simple enough for anyone to understand.,0,1,1143
The TV show was as easy to understand as Dr. Seuss tale.,The TV show was very complicated and difficult to parse through for understanding.,The TV show was simple enough for anyone to understand.,1,1,1143
The movie's excitement level was like that of Watching paint dry,The movie is boring,The movie is exciting,0,1,1148
The movie's excitement level was like that of A three-ring circus,The movie is boring,The movie is exciting,1,1,1148
The book had the clarity of glass,The book was clear and easy to understand,The book was confusing and hard to understand,0,1,1152
The book had the clarity of mud,The book was clear and easy to understand,The book was confusing and hard to understand,1,1,1152
The phone had all the charge of a nuclear power plant before a meltdown,The phone has a lot of charge,The phone has no charge,0,1,1160
The phone had all the charge of a Sega Game Gear left in the attic for 25 years,The phone has a lot of charge,The phone has no charge,1,1,1160
This book has the originality of a copy machine,This book is predictable and overdone,This book has nothing like it,0,1,1161
This book has the originality of a snowflake,This book is predictable and overdone,This book has nothing like it,1,1,1161
That flower has the beauty of a peacock sitting in a weeping willow under a rainbow,The flower is beautiful and rare,That flower is disgusting,0,1,1162
That flower has the beauty of the bottom of an empty dumpster,The flower is beautiful and rare,That flower is disgusting,1,1,1162
It was as challenging as Mt. Everest,It was difficult.,It was easy.,0,1,1164
It was as challenging as tying one's shoes,It was difficult.,It was easy.,1,1,1164
The movie has the speed of a dead chicken.,The movie is slow.,The movie is fast-paced.,0,1,1167
The movie has the speed of a Lamborghini.,The movie is slow.,The movie is fast-paced.,1,1,1167
The girl's smile was as bright as a Christmas ornament,The girl's smile was exuberant.,The girl didn't smile very brightly.,0,1,1168
The girl's smile was as bright as a piece of slate,The girl's smile was exuberant.,The girl didn't smile very brightly.,1,1,1168
The car is a pile of dog poop.,The car is trash.,The car is wonderful.,0,1,1171
The car is a treasure chest.,The car is trash.,The car is wonderful.,1,1,1171
The cat is a  wooly mammoth.,The cat is hairy.,The cat is bald.,0,1,1172
The cat is a naked mole rat.,The cat is hairy.,The cat is bald.,1,1,1172
Mornings spent here are nightmares comes to life.,The mornings there are awful.,The mornings there are wonderful.,0,1,1176
Mornings spent here are dreams come true.,The mornings there are awful.,The mornings there are wonderful.,1,1,1176
Toddlers are angels in human form.,Toddlers are innocent and sweet.,Toddlers are unpleasant and evil.,0,1,1177
Toddlers are devils in human form.,Toddlers are innocent and sweet.,Toddlers are unpleasant and evil.,1,1,1177
That man had all the charm of skunk spray.,He was not charming at all.,He was very charming.,0,1,1178
That man had all the charm of a chocolate strawberry.,He was not charming at all.,He was very charming.,1,1,1178
The cat is as small as a hippopotamus.,The cat is very large.,The cat is tiny.,0,1,1179
The cat is as small as an ant.,The cat is very large.,The cat is tiny.,1,1,1179
The field is as green as a school bus.,The field is yellow and dying.,The field is bright green.,0,1,1180
The field is as green as a tree frog.,The field is yellow and dying.,The field is bright green.,1,1,1180
The car was a cheetah,The car was fast,The car was slow,0,1,1182
The car was a slug,The car was fast,The car was slow,1,1,1182
The meaning of life is quantum theory.,The meaning of life is complicated,The meaning of life is simple,0,1,1183
"The meaning of life is duck, duck, goose",The meaning of life is complicated,The meaning of life is simple,1,1,1183
He smelled like success,He smelled good.,He smelled bad.,0,1,1184
He smelled like defeat,He smelled good.,He smelled bad.,1,1,1184
Her laughter was like a favorite song,The sound of her laughter was pleasant.,The sound of her laughter was unpleasant.,0,1,1186
Her laughter was like a woodchipper,The sound of her laughter was pleasant.,The sound of her laughter was unpleasant.,1,1,1186
The girl makes her emotions as easy to read as a geometry textbook,The girl's emotions are hard to read.,The girl's emotions are really easy to figure out.,0,1,1189
The girl makes her emotions as easy to read as a billboard sign,The girl's emotions are hard to read.,The girl's emotions are really easy to figure out.,1,1,1189
The lawyer's tenacity was like a bulldog,The lawyer was highly motivated.,The lawyer had no drive.,0,1,1198
The lawyer's tenacity was like a koala,The lawyer was highly motivated.,The lawyer had no drive.,1,1,1198
The child swims as well as a salmon,The child swims really expertly.,The child flounders around in the pool.,0,1,1199
The child swims as well as a peacock,The child swims really expertly.,The child flounders around in the pool.,1,1,1199
The dog barked as loudly as a cheering audience,The dog yipped wildly.,The dog made no sound.,0,1,1200
The dog barked as loudly as a sleeping baby,The dog yipped wildly.,The dog made no sound.,1,1,1200
The chapter has the depth of a bathtub.,The chapter is boring.,The chapter is profound.,0,1,1201
The chapter has the depth of the sea.,The chapter is boring.,The chapter is profound.,1,1,1201
The driveway is a ski slope.,The driveway is steep.,The driveway is flat.,0,1,1202
The driveway is a plain.,The driveway is steep.,The driveway is flat.,1,1,1202
The sandwich is as thick as a dictionary,the sandwich is huge,the sandwich is thin,0,1,1204
The sandwich is as thick as a veil,the sandwich is huge,the sandwich is thin,1,1,1204
The tea tastes like paper,the tea is flavorless,the tea has interesting flavors,0,1,1205
The tea tastes like the tropics,the tea is flavorless,the tea has interesting flavors,1,1,1205
The sandwich bread had the thickness of a car tire,The bread was thick,The bread was thin,0,1,1206
The sandwich bread had the thickness of a wood shaving,The bread was thick,The bread was thin,1,1,1206
The woman's waistline had the width of a toothpick,The waistline was small,The waistline was large,0,1,1208
The woman's waistline had the width of the equator,The waistline was small,The waistline was large,1,1,1208
The conversation was as shallow as a bird bath,The conversation was superficial,The conversation was intriguing,0,1,1210
The conversation was a deep rabbit hole,The conversation was superficial,The conversation was intriguing,1,1,1210
Her pillow is a rock,The pillow is hard,The pillow is soft,0,1,1213
Her pillow is a marshmallow,The pillow is hard,The pillow is soft,1,1,1213
The air is a warm hug,The air is warm and cozy,The air is cold and irritating,0,1,1214
The air is a biting fly,The air is warm and cozy,The air is cold and irritating,1,1,1214
The sandwich was a mother's hug.,The sandwich was delicious and comforting.,The sandwich was painfully unpleasant.,0,1,1215
