startphrase,ending1,ending2,labels,valid
He's got the patience of a drill sergeant,He's patient,He's very impatient,1,0
He's got the style of a model,He's stylish,He's not stylish,0,0
He's got the style of a clown,He's stylish,He's not stylish,1,0
This building's as tough as iron,This build is tough,This building is flimsy,0,0
This building's as tough as sand,This build is tough,This building is flimsy,1,0
The electric drill has the power of an oil derrick.,The drill is powerfull.,The drill is weak.,0,1
The electric drill has the power of a wood auger.,The drill is powerfull.,The drill is weak.,1,1
The medicine ball has the weight of a parrot's powder down.,The medicine ball is light.,The medicine ball is heavy.,0,1
The medicine ball has the weight of osmium.,The medicine ball is light.,The medicine ball is heavy.,1,1
The bruise is as painful as an Eskimo nose rub.,The bruise does not hurt.,The bruise hurts.,0,1
The bruise is as painful as an inflamed hemorrhoid.,The bruise does not hurt.,The bruise hurts.,1,1
The student was a walking theasaurus,The student was held in high esteem for his time spent in studies,The student held no promise and not considered viable,0,0
The student was a waste of space,The student was held in high esteem for his time spent in studies,The student held no promise and not considered viable,1,0
My younger sibling is a inspiration,My younger sibling is making great strides and is a role model,My younger sibling is jobless and presents no effort to move,0,0
My younger sibling is a basement dweller,My younger sibling is making great strides and is a role model,My younger sibling is jobless and presents no effort to move,1,0
The child's stomach was a cesspool,The child ate whatever was offered no matter the health implications,The child refused to eat whatever food was available and would rather starve,0,0
The child's stomach was a cavity,The child ate whatever was offered no matter the health implications,The child refused to eat whatever food was available and would rather starve,1,0
The movie is heart touch The movie is heart touch,The movie is heart touch,The movie is heart touch,0,0
The movie is heart touch The movie is heart touch,The movie is heart touch,The movie is heart touch,1,0
It was as slow as watching paint dry,It was frustratingly slow,It took forever,0,0
It was as slow as watching grass grow,It was frustratingly slow,It took forever,1,0
The sky was as clear as a crystal,The sky was blue and sunny,The sky was cloudy and stormy,0,1
The sky was as muddy as a swamp,The sky was blue and sunny,The sky was cloudy and stormy,1,1
The music was as loud as an earthquake,The music was too loud,The music was very quiet,0,1
The music was as loud as a mouse,The music was too loud,The music was very quiet,1,1
It was healthy like candy.,It wasn't healthy.,It was very healthy.,0,1
It was healthy like a carrot.,It wasn't healthy.,It was very healthy.,1,1
It was rare like a geode.,It was very rare.,It wasn't rare.,0,1
It was rare like a penny.,It was very rare.,It wasn't rare.,1,1
It was sticky like glue.,It was very sticky.,It wasn't sticky.,0,1
It was sticky like oil.,It was very sticky.,It wasn't sticky.,1,1
"Thoughts of the next dimension made the woman feel like One of the many ants in a colony, in the city, in a state, in a country, on a planet, in a galaxy that was small.",She felt small and insignificant.,She felt illuminated,0,0
Thoughts of the next dimension made the woman feel like Staring into the sun,She felt small and insignificant.,She felt illuminated,1,0
The patient in the doctor's office had all the manners of Queen Elizabeth,She was very polite.,She was crude.,0,1
The patient in the doctor's office had all the manners of Ozzy Osbourne,She was very polite.,She was crude.,1,1
The man pushed the door closed with as much force as A Mack truck on the highway,The man used a lot of strength,There was not a lot of strength used,0,1
The man pushed the door closed with as much force as A learning to walk toddler,The man used a lot of strength,There was not a lot of strength used,1,1
The dimension is as infinite as new McDonald's restaurants,The dimension is very infinite,The dimension is a finite small size.,0,0
The dimension is as infinite as Single person feels at a New Year's eve party.,The dimension is very infinite,The dimension is a finite small size.,1,0
The book is as exciting as An empty box,The book is boring,The book is exciting,0,1
The book is as exciting as Presidential election day,The book is boring,The book is exciting,1,1
The force is as strong as An fire alarm in your sleep,The force is powerful,The force is weak,0,1
The force is as strong as A whisper in at a rock concert,The force is powerful,The force is weak,1,1
The girl had the strength of A typhoon,The girl was very strong,The girl was weak,0,1
The girl had the strength of a still morning,The girl was very strong,The girl was weak,1,1
The bottle seemed butterfly like,The bottle was colorful,The bottle was drab,0,1
The bottle seemed moth like,The bottle was colorful,The bottle was drab,1,1
The puzzle had the depth of John the Baptist,The puzzle was deep and wise,"The puzzle was surface only, unseen otherwise",0,1
The puzzle had the depth of Doubting Thomas,The puzzle was deep and wise,"The puzzle was surface only, unseen otherwise",1,1
He pulled a George Lucas.,He sold out to make a commercialized movie.,He kept his vision to make an authentic movie.,0,1
He pulled a Stanley Kubrick.,He sold out to make a commercialized movie.,He kept his vision to make an authentic movie.,1,1
He is a Tesla Model 3.,He is modern.,He is out-of-date.,0,1
He is a Buick Century.,He is modern.,He is out-of-date.,1,1
She is worth 10 XP,She is inexperienced.,She is experienced.,0,1
She is worth 10000 XP.,She is inexperienced.,She is experienced.,1,1
The man was as strong as a bull,The man was strong,The man was not strong,0,1
The man was as strong as a fly,The man was strong,The man was not strong,1,1
The message in a bottle sailed the ocean like pirate ship,The bottle sailed quickly,The bottle stayed in one place,0,1
The message in a bottle sailed the ocean like bobbing cork,The bottle sailed quickly,The bottle stayed in one place,1,1
The puzzle was as complicated as rocket science,The puzzle was difficult,The puzzle was easy,0,1
The puzzle was as complicated as the alphabet,The puzzle was difficult,The puzzle was easy,1,1
This book is a dull as A block of cheese,The book is dull,The book is not dull at all!,0,0
This book is a dull as A cheese grater!,The book is dull,The book is not dull at all!,1,0
This song is one for the books A coloring book.,The song is simple and childish,The song is satisfying and age appropriate,0,0
This song is one for the books A NYT bestseller,The song is simple and childish,The song is satisfying and age appropriate,1,0
This lasagna has the flavor of Stale cardboard,The lasagna is below acceptable,The lasagna is excellent!,0,1
This lasagna has the flavor of Buca di beppo,The lasagna is below acceptable,The lasagna is excellent!,1,1
The puzzle has the difficulty level of A riddle for infants,The puzzle is very easy,The puzzle is very difficult,0,1
The puzzle has the difficulty level of A thousand-sided Rubik's Cube,The puzzle is very easy,The puzzle is very difficult,1,1
The bottle's glass is as clear as A stained glass window,The bottle's glass is not transparent,The bottle's glass is very clear and transparent,0,1
The bottle's glass is as clear as Looking through binoculars,The bottle's glass is not transparent,The bottle's glass is very clear and transparent,1,1
The choreography has the complexity of A one-man standup comedy act,The choreography is very simple,The choreography is complex,0,1
The choreography has the complexity of A multiprocessor supercomputer,The choreography is very simple,The choreography is complex,1,1
The movie is heart touch The movie is heart touch,The movie is heart touch,The movie is heart touch,0,0
The movie is heart touch The movie is heart touch,The movie is heart touch,The movie is heart touch,1,0
The woman reminded them that her boyfriend was as strong as A chain on a dogs neck,Her boyfriend was very strong,There wasn't much strength,0,1
The woman reminded them that her boyfriend was as strong as A fishing line,Her boyfriend was very strong,There wasn't much strength,1,1
The shape of the bottle was as familiar to the woman as The size of her waist,The shape was very familiar,The shape was unknown,0,1
The shape of the bottle was as familiar to the woman as The number of votes cast in the previous election,The shape was very familiar,The shape was unknown,1,1
The complicated puzzle would take them as long to put together as It took to assemble their bookshelf,Putting the puzzle together would be relatively quick,It would take too long to put the puzzle together,0,1
The complicated puzzle would take them as long to put together as It took to assemble the Eiffel Tower,Putting the puzzle together would be relatively quick,It would take too long to put the puzzle together,1,1
The drink was as strong as water,The drink was not strong,The drink was strong,0,1
The drink was as strong as a punch in the gut,The drink was not strong,The drink was strong,1,1
The bottle was sealed as tight as Fort Knox,The bottle was sealed tight,The bottle was not sealed tight,0,1
The bottle was sealed as tight as an XXXXXL tee,The bottle was sealed tight,The bottle was not sealed tight,1,1
Solving the puzzle was as easy as petting a dog,Solving the puzzle was easy,Solving the puzzle was not easy,0,1
Solving the puzzle was as easy as painting the Sistine Chapel,Solving the puzzle was easy,Solving the puzzle was not easy,1,1
To him the stack if paperwork looked like It could rival Jack's beanstalk in height.,To him the stack of paperwork was endless and towering,To him the stack of paperwork was short.,0,1
To him the stack if paperwork looked like a thin slice of ham.,To him the stack of paperwork was endless and towering,To him the stack of paperwork was short.,1,1
Their shoulders had the weight of Ten thousand stars.,Their shoulders felt heavy and burdened.,Their shoulders felt light.,0,1
Their shoulders had the weight of A hollow feather.,Their shoulders felt heavy and burdened.,Their shoulders felt light.,1,1
"Seeing the old juke box was like visiting a nasty, useless junkyard",Seeing the old juke box was an eye sore.,Seeing the old juke box was a reminder of older times.,0,1
Seeing the old juke box was like a key that opens a door of old memories.,Seeing the old juke box was an eye sore.,Seeing the old juke box was a reminder of older times.,1,1
The hero was as mighty as an ox,the hero was strong,the hero was weak,0,1
The hero was as mighty as an ant,the hero was strong,the hero was weak,1,1
The dog was as quick as a jaguar,the dog was fast,the dog was slow,0,1
The dog was as quick as a turtle on vacation,the dog was fast,the dog was slow,1,1
the bathroom was as clean as a sewer,it was nasty,it was clean as it could be,0,1
the bathroom was as clean as a pastor's phone,it was nasty,it was clean as it could be,1,1
It ascended like a balloon off it's string,It ascends a lot,It doesn't ascend at all,0,1
It ascended like a Safe,It ascends a lot,It doesn't ascend at all,1,1
That's about as noticeable a drunk person at a party,It's very easy to notice,It's very easy to miss,0,0
That's about as noticeable as a red ant amongst a group of black ants,It's very easy to notice,It's very easy to miss,1,0
They're about as similar as Pepsi and Coke,They're very similar,They aren't similar at all.,0,1
They're about as similar as Cake and Hot Sauce,They're very similar,They aren't similar at all.,1,1
Peter is all thumbs,Peter is clumsy,Peter is not loud,0,0
Peter is quiet as a mouse,Peter is clumsy,Peter is not loud,1,0
The children are rugrats,The children can't walk.,The children can't sit still.,0,1
The children are bouncy like a flea,The children can't walk.,The children can't sit still.,1,1
My boyfriend showered me with gifts,My boyfriend gave me gifts,My boyfriend hurt is back,0,0
My boyfriend slipped a disk,My boyfriend gave me gifts,My boyfriend hurt is back,1,0
Life of full journey Life of full journey,Life of full journey,Life of full journey,0,0
Life of full journey Life of full journey,Life of full journey,Life of full journey,1,0
A corporation is as much a person as a pet rock,A corporation is not a person,A corporation is a person,0,1
A corporation is as much a person as one's best friend,A corporation is not a person,A corporation is a person,1,1
She had the personal hygiene of a homeless drunk,She had bad personal hygiene,She had good personal hygiene,0,1
She had the personal hygiene of a surgeon in the operating room,She had bad personal hygiene,She had good personal hygiene,1,1
He worked as hard as dead slug,He did not work hard,He worked hard,0,1
He worked as hard as a one-handed acrobat,He did not work hard,He worked hard,1,1
That's more real than a million bucks in my bank account,It is very real,It is completely fake and made up,0,0
That's more real than aliens living under ground on a flat earth,It is very real,It is completely fake and made up,1,0
His feelings are as fragile as a diamond,"His feelings are hard, not fragile",His feelings are easily hurt,0,1
His feelings are as fragile as balsa wood,"His feelings are hard, not fragile",His feelings are easily hurt,1,1
She's as smart as a rocket scientist,She is extremely smart,She is not very smart at all,0,1
She's as smart as a toaster,She is extremely smart,She is not very smart at all,1,1
The girl's ego has the strength of spider silk,The girl has a strong ego.,The girl has a fragile ego.,0,1
The girl's ego has the strength of a glass flute,The girl has a strong ego.,The girl has a fragile ego.,1,1
The woman is as generous as a Thanksgiving buffet,The woman is very generous.,The woman is a cheapskate.,0,1
The woman is as generous as an appetizer,The woman is very generous.,The woman is a cheapskate.,1,1
The boy has the creativity of a telephone pole,The boy is not creative.,The boy is very creative.,0,1
The boy has the creativity of a gallery,The boy is not creative.,The boy is very creative.,1,1
That person has the voice of a songbird,That person's voice is light and pleasant,That person's voice is loud and cacaphonic,0,1
That person has the voice of a foghorn,That person's voice is light and pleasant,That person's voice is loud and cacaphonic,1,1
I'm as fragile as a vase,I'm very fragile,I'm very tough,0,1
I'm as fragile as a brick,I'm very fragile,I'm very tough,1,1
I work as hard as an ant,I work hard,I don't work hard,0,1
I work as hard as a sloth,I work hard,I don't work hard,1,1
The person's emotion has the fragility of a butterfly.,The person is emotionally weak.,The person is emotionally strong.,0,1
The person's emotion has the fragility of bull unscathed by all the years of fighting in the wild.,The person is emotionally weak.,The person is emotionally strong.,1,1
The pancake has the properties of fluffy birthday cake.,The pancake is soft.,The pancake is stiff.,0,1
The pancake has the properties of a hockey puck.,The pancake is soft.,The pancake is stiff.,1,1
The bathroom has the smell a beautiful women's perfume.,The bathroom smells good.,The bathroom smells bad.,0,1
The bathroom has the smell of an expired milk left outside in room temperature.,The bathroom smells good.,The bathroom smells bad.,1,1
She was as late as a dead guy to his job,she was really late,she was really early,0,1
She was as late as A early bird to the worm,she was really late,she was really early,1,1
His blood was darker than midnight,the blood was dark,the blood was light,0,1
His blood was darker than noon,the blood was dark,the blood was light,1,1
The event was as significant as a car driving,it was common,it was rare,0,1
The event was as significant as a winning lotto ticket,it was common,it was rare,1,1
The syrup had the thickness of a female character designed by 4chan's /co/ board,The syrup was very thick,The syrup had no thickness,0,1
The syrup had the thickness of a fully melted ice cube,The syrup was very thick,The syrup had no thickness,1,1
The baseball game went on for the length of The Lord of the Rings Trilogy Extended Edition,The baseball game went on for a long time,The baseball game was over quickly,0,1
The baseball game went on for the length of a 1-year-old's birthday party,The baseball game went on for a long time,The baseball game was over quickly,1,1
He was as handsome as the vampires in Twilight,He was very handsome,He was very ugly,0,1
He was as handsome as the vampire in Nosferatu,He was very handsome,He was very ugly,1,1
I had the wealth of a tycoon,I was wealthy,I was poor,0,1
I had the wealth of a bum,I was wealthy,I was poor,1,1
The bed was as soft as a cloud,The bed was soft,The bed was hard,0,1
The bed was as soft as concrete,The bed was soft,The bed was hard,1,1
His teeth shined like pearls,His teeth were shiny,His teeth were dull and not shiny,0,1
His teeth shined like dirt,His teeth were shiny,His teeth were dull and not shiny,1,1
The dancing couple has the grace of an epileptic seizure,The couple danced poorly,The couple danced gracefully,0,1
The dancing couple has the grace of a figure skater,The couple danced poorly,The couple danced gracefully,1,1
The complaints have the significance of a rock in a quarry,The complaints are trivial,The complaints are serious,0,1
The complaints have the significance of a nuclear war,The complaints are trivial,The complaints are serious,1,1
The arrival prompted all the fanfare of a tired yawn,The arrival was unremarkable,The arrival was exciting,0,1
The arrival prompted all the fanfare of a contestant crossing the finish line,The arrival was unremarkable,The arrival was exciting,1,1
Her arrival was like that of the early bird,Her arrival was fast and early,Her arrival took a long time to happen,0,0
Her arrival was like waiting for the sun to set on the summer solstice,Her arrival was fast and early,Her arrival took a long time to happen,1,0
She was as adorable as a small kitten,She was very cute and small,She was ugly cute,0,1
She was as adorable as a pug,She was very cute and small,She was ugly cute,1,1
He was a viper,He is dangerous,He is cute and harmless,0,0
He was a cinchilla,He is dangerous,He is cute and harmless,1,0
She is an open book,She has nothing to hide,She has nothing to conceal,0,0
She is an open mind,She has nothing to hide,She has nothing to conceal,1,0
He wears his heart on his sleeve,He shows his feelings openly.,he shows his feelings without much difficulty,0,0
He wears his heart on his chest,He shows his feelings openly.,he shows his feelings without much difficulty,1,0
These are the dog days of summer,It’s too hot but do anything but be lazy,It's time to relax and stay cool.,0,0
These are the dog days of July,It’s too hot but do anything but be lazy,It's time to relax and stay cool.,1,0
Life of full journey Life of full journey,Life of full journey,Life of full journey,0,0
Life of full journey Life of full journey,Life of full journey,Life of full journey,1,0
The woman was as cruel as a homicide,The woman was very cruel.,The woman was very kind.,0,1
The woman was as cruel as a Valentine,The woman was very cruel.,The woman was very kind.,1,1
The woman's personality was as sweet as a lollipop,The woman's personality was sweet.,The woman's personality was sour.,0,1
The woman's personality was as sweet as a War Head,The woman's personality was sweet.,The woman's personality was sour.,1,1
The soccer team played with the coordination of a tornado,The soccer team played in a very uncoordinated manner.,The soccer team played in a very coordinated manner.,0,1
The soccer team played with the coordination of an orchestra,The soccer team played in a very uncoordinated manner.,The soccer team played in a very coordinated manner.,1,1
The stormy ocean is a ragging bull,a river and tears aren't very alike.,"One is a body of water in nature, while the other can be produced by our eyes.",0,0
The stormy ocean is a ragging chetah,a river and tears aren't very alike.,"One is a body of water in nature, while the other can be produced by our eyes.",1,0
Her tears were a river flowing down her cheeks,As a river is so much larger than a few tears.,a creative way of saying that the person is crying a lot.,0,0
Her tears were a river flowing down her buns,As a river is so much larger than a few tears.,a creative way of saying that the person is crying a lot.,1,0
He is a night owl,one who not sleeps at night.,someone who waking up at night and sleeps in the morning.,0,0
He is a night bat,one who not sleeps at night.,someone who waking up at night and sleeps in the morning.,1,0
His head is as big as a watermelon,the head is large,his head is small,0,1
His head is as big as a pea,the head is large,his head is small,1,1
The bear ran as fast as lightning in a storm,the bear was fast,the bear was slow,0,1
The bear ran as fast as a slug on drugs,the bear was fast,the bear was slow,1,1
The fight was as ugly as a spider with fur,the fight was violent,the fight was tame,0,1
The fight was as ugly as a newborn baby,the fight was violent,the fight was tame,1,1
The man's head is a hot air baloon,The man's head is very large.,The man's head is very small.,0,1
The man's head is a marble,The man's head is very large.,The man's head is very small.,1,1
The woman's breasts are planets,Her boobs are huge.,Her boobs are tiny.,0,1
The woman's breasts are grapes,Her boobs are huge.,Her boobs are tiny.,1,1
My dog is a psychopath,My dog does not behave well.,My dog is well behaved.,0,0
My dog is a angel,My dog does not behave well.,My dog is well behaved.,1,0
Be a strong women Be a strong women,Be a strong women,Be a strong women,0,0
Be a strong women Be a strong women,Be a strong women,Be a strong women,1,0
Her head was the size of an apple,Her head was small,Her head was big,0,1
Her head was the size of a basketball,Her head was small,Her head was big,1,1
The road sign was as informative as an empty notebook,The road sign was not informative,The road sign was informative,0,1
The road sign was as informative as an encyclopedia,The road sign was not informative,The road sign was informative,1,1
The leaves were as colorful as a coffin,The leaves were not colorful,The leaves were colorful,0,1
The leaves were as colorful as a kaleidoscope,The leaves were not colorful,The leaves were colorful,1,1
She was beautiful like a toadstool.,She was ugly.,She was very beautiful.,0,1
She was beautiful like a daisy.,She was ugly.,She was very beautiful.,1,1
He was rich like a millionaire.,He was very rich.,He was poor.,0,0
He was rich like a beggar.,He was very rich.,He was poor.,1,0
He was flashy like a camera.,He was very flashy.,He wasn't flashy at all.,0,1
He was flashy like a hole.,He was very flashy.,He wasn't flashy at all.,1,1
Old age is a jail.,Old people are restricted by frailty and sickness.,Old people can retire and do whatever they want to.,0,0
Old age is freedom,Old people are restricted by frailty and sickness.,Old people can retire and do whatever they want to.,1,0
Hair is a crown.,"Hair is a pretty, unessential adornment.",Hair is plain protection for the head.,0,1
Hair is a helmet.,"Hair is a pretty, unessential adornment.",Hair is plain protection for the head.,1,1
A cockroach is filth.,A cockroach is representative of uncleanliness and unfitness.,A cockroach is representative of toughness and hardiness.,0,0
A cockroach is fitness.,A cockroach is representative of uncleanliness and unfitness.,A cockroach is representative of toughness and hardiness.,1,0
The kid has the wealth of knowledge of a peanut.,The kid is stupid.,The kid is smart.,0,1
The kid has the wealth of knowledge of the next Einstein.,The kid is stupid.,The kid is smart.,1,1
This weather reminds me of me being in my gym's sauna.,The weather is hot.,The weather is cold.,0,1
This weather reminds me of me wading through the frozen lake naked.,The weather is hot.,The weather is cold.,1,1
This hotel reminds me of the Taj Mahal.,This hotel is grand.,This hotel is poor.,0,1
This hotel reminds me of the homeless shelter.,This hotel is grand.,This hotel is poor.,1,1
The chair is as comfortable as a rock slab,The chair is really uncomfortable.,The chair is really comfortable.,0,1
The chair is as comfortable as a pillow,The chair is really uncomfortable.,The chair is really comfortable.,1,1
The book's plot is as straightforward as a grocery list,The book's plot is really straightforward.,The book's plot is really complicated.,0,1
The book's plot is as straightforward as geometry homework,The book's plot is really straightforward.,The book's plot is really complicated.,1,1
The boy's dinner portion size was as big as a lion,The boy's dinner portion size was huge.,The boy's dinner portion size was small.,0,1
The boy's dinner portion size was as big as a penny,The boy's dinner portion size was huge.,The boy's dinner portion size was small.,1,1
Time is money.,Time is extremely important,Time is not at all important.,0,0
Time is trash.,Time is extremely important,Time is not at all important.,1,0
Married life is sweet cake.,Married life is wonderful experience.,Married life is an awful experience.,0,1
Married life is a bitter drink.,Married life is wonderful experience.,Married life is an awful experience.,1,1
Her life is a scary movie.,Her life is full of awful experiences.,Her life is full of beautiful experiences.,0,1
Her life is a journey to paradise.,Her life is full of awful experiences.,Her life is full of beautiful experiences.,1,1
The drugs were as potent as an atom bomb,the drugs were strong,The drugs were weak,0,1
The drugs were as potent as a couple of aspirin past their expiration date,the drugs were strong,The drugs were weak,1,1
The pate had the texture of savory silk,The pate was excellent.,The pate was inedible.,0,1
The pate had the texture of canned dog food,The pate was excellent.,The pate was inedible.,1,1
The car took off like F-15 Eagle,The car was fast,The car was slow,0,1
The car took off like a drunken tortoise,The car was fast,The car was slow,1,1
Planning for the future is like birds building a nest.,"The birds build the nest by moving the straw using their beaks together. So, planning your future also should be done together with your family.","The lion builds its superiority through individual effort and not with any others support. So, we should rely on our individual strengths to succeed in our life when making future plans.",0,0
Planning for the future is like walking in a lion's trail.,"The birds build the nest by moving the straw using their beaks together. So, planning your future also should be done together with your family.","The lion builds its superiority through individual effort and not with any others support. So, we should rely on our individual strengths to succeed in our life when making future plans.",1,0
A reporter is like the postman.,Reporter reports good and bad news just like a postman who brings us good and bad news.,Reporter should remain neutral like the United Nations when reporting news items without being biased to make the news item intentionally good or bad.,0,0
A reporter is like the united nations.,Reporter reports good and bad news just like a postman who brings us good and bad news.,Reporter should remain neutral like the United Nations when reporting news items without being biased to make the news item intentionally good or bad.,1,0
A teacher is like a supreme court judge.,A teachers listen to complaints from all the students and provides solutions to conflicts while being neutral without taking sides..,A teacher should identify the best students and train them to be the best in the country like what a football coach does.,0,0
A teacher is like a football coach.,A teachers listen to complaints from all the students and provides solutions to conflicts while being neutral without taking sides..,A teacher should identify the best students and train them to be the best in the country like what a football coach does.,1,0
The bed was as comfortable as a cradle of caressing pillows.,The bed was very comfortable.,The bed was very uncomfortable.,0,1
The bed was as comfortable as sleeping naked on roof shingles.,The bed was very comfortable.,The bed was very uncomfortable.,1,1
The training was as useful as a pair of waterskis in the Sahara.,The training was useless.,The training was critically useful.,0,1
The training was as useful as an oxygen to trapped miners.,The training was useless.,The training was critically useful.,1,1
The car accident was a zit on prom night.,The car accident was a minor inconvenience.,The car accident was a total loss.,0,0
The car accident was falling in lava after getting decapitated.,The car accident was a minor inconvenience.,The car accident was a total loss.,1,0
She kept as still as the Washington Monument,She kept still,She did not keep still,0,1
She kept as still as a bouncing superball,She kept still,She did not keep still,1,1
The reporter wrote like a monkey on crack,The reporter wrote badly,The reporter wrote well,0,1
The reporter wrote like Hemingway,The reporter wrote badly,The reporter wrote well,1,1
The future seems as bright as the Arctic winter,The future seems dull,The future seems bright,0,1
The future seems as bright as a welding torch,The future seems dull,The future seems bright,1,1
The reporter got a scoop that was a platinum mine,the scoop was good,the scoop was bad,0,1
The reporter got a scoop that was a lump of sand,the scoop was good,the scoop was bad,1,1
The butterfly had the blueness of a cloudy sapphire,the blueness was dark and dull,the blueness was light and bright,0,0
The butterfly had the blueness of a pure sky,the blueness was dark and dull,the blueness was light and bright,1,0
The apartment was a hamster cage,the apartment was small,the apartment was huge,0,1
The apartment was an Empire State Building,the apartment was small,the apartment was huge,1,1
The football field's a theatre and you're a prop,The individual is statuesque and hidden in the background,The individual is graceful and the focus of one's attention,0,1
The football field's a theatre and you're a ballerina,The individual is statuesque and hidden in the background,The individual is graceful and the focus of one's attention,1,1
Life is simply a board game of Risk,Life is full of battles and turmoil where only one side is victorious,Life is full of wonder and color where the experience is beneficial to all,0,1
Life is simply a board game of Candyland,Life is full of battles and turmoil where only one side is victorious,Life is full of wonder and color where the experience is beneficial to all,1,1
My wife was the torch to light my way,The wife was what brought the individual out of darkness and into prosperity,The wife was dragging one's entire life down and into depression,0,1
My wife was the sandbag tied to my foot,The wife was what brought the individual out of darkness and into prosperity,The wife was dragging one's entire life down and into depression,1,1
Be a strong women Be a strong women,Be a strong women,Be a strong women,0,0
Be a strong women Be a strong women,Be a strong women,Be a strong women,1,0
The moonshiner's still was a spider mite,the still was small,the still was large,0,1
The moonshiner's still was a giant squid,the still was small,the still was large,1,1
The reporter was a roach motel,The reporter was ineffective,The reporter was effective,0,1
The reporter was a Bear snap trap,The reporter was ineffective,The reporter was effective,1,1
The boy's future was an empty coloring book,"The boy's future was wide open, unforseen","The boy's future was fully laid out, forseen",0,1
The boy's future was A colorful coffee table book,"The boy's future was wide open, unforseen","The boy's future was fully laid out, forseen",1,1
She sings like a breeze,she sings well,she sings horribly,0,0
She sings like a hurricane,she sings well,she sings horribly,1,0
He runs like a stallion,he runs well,he runs badly,0,1
He runs like a donkey,he runs well,he runs badly,1,1
those kids were behaving like kittens,those kids were adorable,those kids were annoying,0,1
those kids were behaving like cockroaches,those kids were adorable,those kids were annoying,1,1
That man is as healthy as an ox.,The man is very healthy and robust.,The man is not healthy at all.,0,1
That man is as healthy as a fish on land.,The man is very healthy and robust.,The man is not healthy at all.,1,1
The classroom was as crowded as a store on Black Friday.,The classroom is very crowded.,The classroom is not crowded and basically empty.,0,1
The classroom was as crowded as a Blockbuster Video.,The classroom is very crowded.,The classroom is not crowded and basically empty.,1,1
That movie was as scary as a wild animal attack.,The movie was very scary.,The movie wasn't scary at all.,0,1
That movie was as scary as a carebear.,The movie was very scary.,The movie wasn't scary at all.,1,1
Children are like a flower seed.,They grow up to be beautiful creatures based on the nutrition we provide.,Children should be trained to navigate life on their own to overcome obstacles without fear.,0,1
Children are like an airline pilot.,They grow up to be beautiful creatures based on the nutrition we provide.,Children should be trained to navigate life on their own to overcome obstacles without fear.,1,1
A social class is like a rank in the army,lower class try to follow the higher class and aspire to be like the higher class just like in the army.,"A rotten apple is bad for us ( to eat ) but good to look at if the outer surface is not rotten. Similarly, division into social classes may look good from the outside but is bad for the society due to lack of eqaulity.",0,0
A social class is like a rotten apple with a shiny look.,lower class try to follow the higher class and aspire to be like the higher class just like in the army.,"A rotten apple is bad for us ( to eat ) but good to look at if the outer surface is not rotten. Similarly, division into social classes may look good from the outside but is bad for the society due to lack of eqaulity.",1,0
Life is like a ticking clock.,"Time lost cannot be recovered again. So, use time wisely.",We should live a carefree life to stay stress free.,0,1
Life is like a flying bird.,"Time lost cannot be recovered again. So, use time wisely.",We should live a carefree life to stay stress free.,1,1
This classroom is A jungle,The classroom is chaotic.,The classrrom is peaceful.,0,0
This classroom is An oasis,The classroom is chaotic.,The classrrom is peaceful.,1,0
The instruction manual is A maze,The instructions are complicated.,The instructions are well written.,0,1
The instruction manual is A novel,The instructions are complicated.,The instructions are well written.,1,1
This shower is a fire hydrant.,The shower had high pressure.,The shower has low pressure.,0,1
This shower is a soft rain.,The shower had high pressure.,The shower has low pressure.,1,1
everyone use a water in a swimming pool,everyone use a water in a class,class uses for studies,0,0
everyone use a water in a ocean,everyone use a water in a class,class uses for studies,1,0
insurance of lenght,insurance of health is important,health insurance is important,0,0
insurance of width,insurance of health is important,health insurance is important,1,0
every one need to be wading pool,every one need to be transient,transient need to be every one,0,0
every one need to be the mountain,every one need to be transient,transient need to be every one,1,0
The house was as big as an office building,The house was very large,The house was small,0,1
The house was as big as an ice fishing shack,The house was very large,The house was small,1,1
The pie was as sweet as a child helping clean,The pie was very sweet,The pie was bitter,0,1
The pie was as sweet as a mean junkyard dog,The pie was very sweet,The pie was bitter,1,1
The fire burned as long as a three part movie,The fire burned a long time,The fire burned quickly,0,1
The fire burned as long as a stop at the gas station,The fire burned a long time,The fire burned quickly,1,1
The class has the patience of an elephant charging through lions.,The class is very impatient.,The class is extremely patient.,0,1
The class has the patience of Mr. Miyagi.,The class is very impatient.,The class is extremely patient.,1,1
His fitness level was better than the Rock.,He was extremely fit.,He was unfit and slovenly.,0,1
His fitness level was akin to a drunken sloth.,He was extremely fit.,He was unfit and slovenly.,1,1
The storm was beating down us like a whip.,The storm was raging hard against us.,The storm was really weak.,0,0
The storm was more of a drizzle fizzle.,The storm was raging hard against us.,The storm was really weak.,1,0
He has the class of a British royal,He is refined and well behaved,He is tactless,0,1
He has the class of a town drunk,He is refined and well behaved,He is tactless,1,1
I have the personal health approach of a triathlete,I am living a very healthy lifestyle,I am making bad choices for my health,0,1
I have the personal health approach of a carnival worker,I am living a very healthy lifestyle,I am making bad choices for my health,1,1
"When it comes to being transient, he has the mobility of an anvil",He does not like to leave his current location,He is always on the move,0,1
"When it comes to being transient, he has the mobility of a mountain lion",He does not like to leave his current location,He is always on the move,1,1
The light has the brightness of The sun,The light is extremely bright,The light is dark,0,1
The light has the brightness of A cave,The light is extremely bright,The light is dark,1,1
The sky is A window,The sky is clear,The sky is a mess/not clear,0,1
The sky is A muddy puddle,The sky is clear,The sky is a mess/not clear,1,1
